idx,criteria_name,park_id,average_score,category_id,category_name,created_at,updated_at
111,포용성,2,3.0,2,이동공간,2023-11-09 05:56:31.957581+00,2023-12-13 09:18:44.105515+00
112,안전성,2,3.5,2,이동공간,2023-11-09 05:56:31.957077+00,2023-12-13 09:18:44.107214+00
113,포용성,3,4.5,3,위생공간,2023-12-14 06:02:48.270934+00,
114,정보제공성,2,3.0,4,편의공간(편의),2023-11-02 08:35:47.736315+00,2023-11-14 03:47:08.566371+00
115,안전성,3,4.4,2,이동공간,2023-12-14 00:22:23.584451+00,2023-12-14 06:11:52.879486+00
116,안전성,2,3.0,4,편의공간(편의),2023-11-02 08:35:47.736536+00,2023-11-14 03:47:08.567751+00
117,안전성,3,4.4,3,위생공간,2023-12-14 06:02:48.27383+00,
118,접근성,3,3.6,6,휴게공간,2023-12-14 05:33:02.664869+00,2023-12-14 06:13:48.099528+00
119,포용성,2,3.0,4,편의공간(편의),2023-11-02 08:35:47.74878+00,2023-11-14 03:47:08.565225+00
120,정보제공성,3,4.6,4,편의공간(편의),2023-12-14 05:36:53.699505+00,2023-12-14 06:36:55.247322+00
121,접근성,3,2.0,10,도로시설,2023-12-16 12:51:12.262396+00,
122,정보제공성,3,5.0,11,편의/지원,2023-12-21 04:11:37.366483+00,2023-12-21 04:46:35.753102+00
123,이동성,3,4.3,6,휴게공간,2023-12-14 05:33:02.66492+00,2023-12-14 06:13:48.130161+00
124,안전성,3,4.0,6,휴게공간,2023-12-14 05:33:02.665586+00,2023-12-14 06:13:48.131082+00
125,포용성,3,3.2,6,휴게공간,2023-12-14 05:33:02.670397+00,2023-12-14 06:13:48.137418+00
126,접근성,3,4.8,5,편의공간(안내),2023-12-14 06:10:05.080696+00,2023-12-14 06:49:03.286662+00
127,안전성,3,3.9,5,편의공간(안내),2023-12-14 06:10:05.117019+00,2023-12-14 06:49:03.313119+00
128,정보제공성,3,4.5,5,편의공간(안내),2023-12-14 06:10:05.113388+00,2023-12-14 06:49:03.316447+00
129,포용성,3,3.6,5,편의공간(안내),2023-12-14 06:10:05.114731+00,2023-12-14 06:49:03.318187+00
130,접근성,3,3.9,1,진입공간,2023-12-13 14:52:44.262366+00,2023-12-15 04:07:37.763672+00
131,이동성,3,4.8,1,진입공간,2023-12-14 05:33:12.558005+00,2023-12-15 04:07:37.804831+00
